dataset,count_dx,tool,cell_count,tool_cell_count
https://entity.api.hubmapconsortium.org/entities/0219f5ba7743f0fc59d027eb23c5187d,-689,popv,8999,8310
https://entity.api.hubmapconsortium.org/entities/2ea554a5a203a6c468431e652823ca1e,-689,popv,8999,8310
https://entity.api.hubmapconsortium.org/entities/6f1b0a72a5e10af1474cec9a8804b8f5,-638,popv,5997,5359
https://entity.api.hubmapconsortium.org/entities/0b1017f6a9d71c4e75125e7144b62795,-586,popv,6997,6411
https://entity.api.hubmapconsortium.org/entities/97effe14bbcac7911a136008c3a7f5cf,-586,popv,6997,6411
https://entity.api.hubmapconsortium.org/entities/29a538c3ddb396dee26188ae1151da46,-500,popv,3190,2690
https://entity.api.hubmapconsortium.org/entities/06f36504b05a954d35eaf5e26be49c42,-497,popv,7998,7501
https://entity.api.hubmapconsortium.org/entities/b30f6ae2e11e7537bcbe8a67ef6c61fe,-497,popv,7998,7501
https://entity.api.hubmapconsortium.org/entities/6204c98529c482e1bb3816559775dc54,-483,popv,7000,6517
https://entity.api.hubmapconsortium.org/entities/c92847b1dcfb19774c9829b0759162b2,-483,popv,7000,6517
https://entity.api.hubmapconsortium.org/entities/922fdad6086766febc2f4a71059d6f82,-468,popv,7999,7531
https://entity.api.hubmapconsortium.org/entities/e10f4899d35a9f39a2963fe9586b5fa4,-468,popv,7999,7531
https://entity.api.hubmapconsortium.org/entities/cd0ad2f9ed2f896e682ecacfbdac01ab,-417,popv,6767,6350
https://entity.api.hubmapconsortium.org/entities/f2647d9533956fdb12da6b1fc6254441,-349,popv,3282,2933
https://entity.api.hubmapconsortium.org/entities/5e919343564577bb99b140142061fd5f,-295,popv,6000,5705
https://entity.api.hubmapconsortium.org/entities/27db7c3986c56c8ce03e71779e7ce698,-284,popv,5988,5704
https://entity.api.sennetconsortium.org/entities/55b89760a86cf5097aeac1d22e72c406,-228,popv,11000,10772
https://entity.api.hubmapconsortium.org/entities/ff5d0d740fea8963e91f2e35c0a85596,-218,popv,5409,5191
https://entity.api.hubmapconsortium.org/entities/2ae126ab16c264352b2d3d2607236b97,-177,popv,6000,5823
https://entity.api.hubmapconsortium.org/entities/8c1ad4c380ae5477d0b7875fa47e867e,-177,popv,5999,5822
https://entity.api.hubmapconsortium.org/entities/319aafd9420a0c1c6f175d6a2ef060a9,-163,popv,8270,8107
https://entity.api.hubmapconsortium.org/entities/b5aaa0ff6cde445a6808dc03e27c9364,-163,popv,12000,11837
https://entity.api.hubmapconsortium.org/entities/3a659cda80f149cbfaf94a0c004c419d,-160,popv,11999,11839
https://entity.api.hubmapconsortium.org/entities/b2e48b3c4cd58eb8abc2fcf0c2a79a98,-160,popv,11999,11839
https://entity.api.hubmapconsortium.org/entities/7fb06c821cf184b08ae44c256c29b362,-154,popv,11998,11844
https://entity.api.hubmapconsortium.org/entities/ae9d6066c8b680aa82e8da8a259fb429,-154,popv,11998,11844
https://entity.api.hubmapconsortium.org/entities/a5729f859fc944c76f77fc74a1710e3b,-149,popv,6000,5851
https://entity.api.hubmapconsortium.org/entities/281adda9fffc6214e76cbc3855a88cd9,-148,popv,5996,5848
https://entity.api.hubmapconsortium.org/entities/ec7cffb518a4a21025dc213ee1a27ff0,-148,popv,5996,5848
https://entity.api.hubmapconsortium.org/entities/3c22b735beed13a206fa6d0af9762564,-124,popv,12000,11876
https://entity.api.hubmapconsortium.org/entities/3cb80d40ef2e56ae4c6f12ea24ce4008,-124,popv,12000,11876
