organId,organ,modality,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Left posterior bronchopulmonary segment,0.51350963579151628667,31,8
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.53255296352748016222,4,8
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.47057109940492086078,13,8
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.54708210161930587222,18,8
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Inferior lingular bronchopulmonary segment,0.39186934399713190711,3,5
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.40713697589835430589,7,5
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Inferior lingular bronchopulmonary segment,0.35671907248353799189,2,5
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.439124011845881856,14,5
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Lateral segmental bronchus,0.40593727971943764,50,9
UBERON:0001004,respiratory system,sc_bulk,Right apical segmental bronchus,Lateral segmental bronchus,0.33476484260368144,2,9
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Lateral segmental bronchus,0.41474457032598271778,31,9
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Lateral segmental bronchus,0.43252656002465313889,4,9
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Left anterior segmental bronchus,0.44653241184430725408,3,7
UBERON:0001004,respiratory system,sc_bulk,Left posterior bronchopulmonary segment,Left anterior segmental bronchus,0.41600205579748147444,8,7
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.46112271375883341044,7,14
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Right superior segmental bronchus,0.43567408357777588111,13,2
UBERON:0001004,respiratory system,sc_bulk,Left apical bronchopulmonary segment,Right superior segmental bronchus,0.43711146332602761733,11,2
UBERON:0004538,left kidney,sc_bulk,renal papilla,kidney capsule,0.6718034744321723,6,9
UBERON:0004539,right kidney,sc_bulk,renal papilla,kidney capsule,0.6718034744321723,6,9
UBERON:0001004,respiratory system,sc_bulk,Right superior segmental bronchus,Left anterior segmental bronchus,0.38986688887615333256,2,7
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Left anterior segmental bronchus,0.43989664844852320822,9,7
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Left anterior segmental bronchus,0.44748365982766354533,14,7
UBERON:0001004,respiratory system,sc_bulk,Right superior segmental bronchus,Left apical segmental bronchus,0.46067608069996230444,2,9
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Left apical segmental bronchus,0.50460633093226228,9,9
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Left apical segmental bronchus,0.45578159925119031844,14,9
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.43186515919933299556,13,5
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.41855684256267145678,9,5
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Lateral segmental bronchus,0.41938794859026832333,9,9
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Right apical segmental bronchus,0.49478344358801299222,9,2
UBERON:0000059,large intestine,sc_bulk,caecum,transverse colon,0.8828494192363228,5,17
UBERON:0000059,large intestine,spatial,caecum,transverse colon,0.96143468265481,5,17
UBERON:0000059,large intestine,spatial,rectum,transverse colon,0.9631133090258124,13,17
UBERON:0000059,large intestine,sc_bulk,rectum,transverse colon,0.9224646767680532,13,17
UBERON:0000059,large intestine,sc_bulk,ascending colon,transverse colon,0.9823478566413326,18,17
UBERON:0000059,large intestine,spatial,ascending colon,transverse colon,0.9903219040029957,18,17
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Left apical bronchopulmonary segment,0.50452755772424579633,50,11
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Left apical bronchopulmonary segment,0.50212548452375093489,31,11
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Left apical bronchopulmonary segment,0.51543054287885518222,4,11
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Left apical bronchopulmonary segment,0.43381673440511893267,13,11
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Left apical bronchopulmonary segment,0.52479614138846441833,18,11
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Left apical bronchopulmonary segment,0.49503690352472984733,13,11
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Left apical bronchopulmonary segment,0.3724145568839803445,3,11
UBERON:0001004,respiratory system,sc_bulk,Inferior lingular bronchopulmonary segment,Left apical bronchopulmonary segment,0.40141248721920357567,5,11
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Left apical bronchopulmonary segment,0.40154947668744568267,7,11
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Left apical bronchopulmonary segment,0.50410072962416927711,9,11
UBERON:0000948,heart,sc_bulk,right cardiac atrium,left cardiac atrium,0.4319577226932814,16,14
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,right lung hilus,0.36380296854767582378,3,2
UBERON:0002108,small intestine,sc_bulk,Ascending part of duodenum,Distal part of ileum,0.9970820470771239,18,17
UBERON:0002108,small intestine,sc_bulk,jejunum,Distal part of ileum,0.9985193464968942,16,17
UBERON:0002108,small intestine,spatial,jejunum,Distal part of ileum,0.9493585613319008,16,17
UBERON:0002108,small intestine,spatial,ileum,Distal part of ileum,0.9305547581499694,5,17
UBERON:0002108,small intestine,sc_bulk,ileum,Distal part of ileum,0.9992265125743426,5,17
UBERON:0002108,small intestine,sc_bulk,Descending part of duodenum,Distal part of ileum,0.9963236514402479,18,17
UBERON:0002108,small intestine,spatial,Descending part of duodenum,Distal part of ileum,0.9387703640299905,18,17
UBERON:0002108,small intestine,spatial,Superior part of duodenum,Distal part of ileum,0.8961307802444509,6,17
UBERON:0002108,small intestine,sc_bulk,Superior part of duodenum,Distal part of ileum,0.9974108377797295,6,17
UBERON:0002108,small intestine,spatial,jejunum,Descending part of duodenum,0.9697925868656623,16,18
UBERON:0002108,small intestine,sc_bulk,jejunum,Descending part of duodenum,0.9992680286822212,16,18
UBERON:0002108,small intestine,sc_bulk,ileum,Descending part of duodenum,0.9947805973015255,5,18
UBERON:0002108,small intestine,spatial,ileum,Descending part of duodenum,0.8259072394063592,5,18
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Right apical segmental bronchus,0.42929404841001084667,14,2
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Superior lingular bronchus,0.49610001830881153378,50,2
UBERON:0001004,respiratory system,sc_bulk,Right apical segmental bronchus,Superior lingular bronchus,0.47961258151004845889,2,2
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Superior lingular bronchus,0.52192790967874286222,31,2
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Superior lingular bronchus,0.50591016158088448889,4,2
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Superior lingular bronchus,0.46845034635109782667,13,2
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Left apical segmental bronchus,0.47487007951643559556,2,9
UBERON:0001004,respiratory system,sc_bulk,Medial bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.45173353726894985511,50,5
UBERON:0001004,respiratory system,sc_bulk,Lateral bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.43722543470326401211,31,5
UBERON:0001004,respiratory system,sc_bulk,Right superior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.381076941530083049,4,5
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.416632732373658198,13,5
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.39712704646652001333,18,5
UBERON:0001004,respiratory system,sc_bulk,Right superior segmental bronchus,Superior lingular bronchus,0.48133461238654405222,2,2
UBERON:0001004,respiratory system,sc_bulk,Superior lingular bronchopulmonary segment,Superior lingular bronchus,0.52759495264120095778,9,2
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Superior lingular bronchus,0.48726707281400527489,14,2
UBERON:0001004,respiratory system,sc_bulk,Left anterior bronchopulmonary segment,Lateral segmental bronchus,0.34080242933154021322,13,9
UBERON:0001004,respiratory system,sc_bulk,Right anterior bronchopulmonary segment,Lateral segmental bronchus,0.42507555895456896889,18,9
UBERON:0001004,respiratory system,sc_bulk,Left apical bronchopulmonary segment,Lateral segmental bronchus,0.43754606370819109,11,9
UBERON:0001004,respiratory system,sc_bulk,Right posterior bronchopulmonary segment,Lateral segmental bronchus,0.41239187956312987111,13,9
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Lateral segmental bronchus,0.28196012037521844944,3,9
UBERON:0001004,respiratory system,sc_bulk,Left posterior bronchopulmonary segment,Lateral segmental bronchus,0.40055318325494906667,8,9
UBERON:0001004,respiratory system,sc_bulk,Inferior lingular bronchopulmonary segment,Lateral segmental bronchus,0.33348756409114731267,5,9
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Lateral segmental bronchus,0.32631713868331299233,7,9
UBERON:0001004,respiratory system,sc_bulk,Right anterior segmental bronchus,Lateral segmental bronchus,0.45538137909112718778,2,9
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Lateral segmental bronchus,0.37276851276478488222,2,9
UBERON:0000059,large intestine,spatial,caecum,descending colon,0.9745886822733076,5,19
UBERON:0000059,large intestine,sc_bulk,caecum,descending colon,0.8599443996743554,5,19
UBERON:0000059,large intestine,spatial,rectum,descending colon,0.9435792189230392,13,19
UBERON:0000059,large intestine,sc_bulk,rectum,descending colon,0.8961792031519565,13,19
UBERON:0000059,large intestine,sc_bulk,ascending colon,descending colon,0.9763266010299023,18,19
UBERON:0000059,large intestine,spatial,ascending colon,descending colon,0.9730551263137631,18,19
UBERON:0002108,small intestine,sc_bulk,Horizontal part of duodenum,Distal part of ileum,0.997136056704072,18,17
UBERON:0002108,small intestine,spatial,Ascending part of duodenum,Distal part of ileum,0.9759071051682783,18,17
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Right apical bronchopulmonary segment,0.43932456480533443732,3,7
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Right apical bronchopulmonary segment,0.411962375653166957,2,7
UBERON:0001004,respiratory system,sc_bulk,left lung hilus,Right posterior bronchopulmonary segment,0.43826670424489669011,3,13
UBERON:0001004,respiratory system,sc_bulk,Right apical bronchopulmonary segment,Right posterior bronchopulmonary segment,0.47082585399369940178,7,13
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Right posterior bronchopulmonary segment,0.47848775579745259,2,13
UBERON:0001004,respiratory system,sc_bulk,right lung hilus,Left apical bronchopulmonary segment,0.48082740446779225111,2,11
UBERON:0001004,respiratory system,sc_bulk,Right anterior basal bronchopulmonary segment,Left apical bronchopulmonary segment,0.47633764143763010,14,11
