organId,organ,as1_label,as2_label,cosine_sim,as1_dataset_count,as2_dataset_count
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Right anterior basal bronchopulmonary segment,0.9746168661443854,13,14
UBERON:0001004,respiratory system,Right apical segmental bronchus,Right superior segmental bronchus,0.9745189184051182,2,2
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Left posterior bronchopulmonary segment,0.974354092278521,13,8
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Left posterior bronchopulmonary segment,0.9740573459713504,7,8
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Left anterior segmental bronchus,0.9739950942042336,7,7
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9738813565034926,14,5
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Left anterior segmental bronchus,0.973505451955084,13,7
UBERON:0001004,respiratory system,left lung hilus,Medial bronchopulmonary segment,0.9727329201321322,3,50
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9723296728760249,13,9
UBERON:0001004,respiratory system,Right apical bronchopulmonary segment,Right superior bronchopulmonary segment,0.9723070957769941,7,4
UBERON:0001004,respiratory system,Right superior bronchopulmonary segment,Right anterior segmental bronchus,0.9722458148647968,4,2
UBERON:0001004,respiratory system,right lung hilus,Right anterior bronchopulmonary segment,0.9719125469375411,2,18
UBERON:0001004,respiratory system,Left anterior bronchopulmonary segment,Left anterior segmental bronchus,0.97136437157833,13,7
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Right anterior segmental bronchus,0.9712349327326044,9,2
UBERON:0001004,respiratory system,Right anterior basal bronchopulmonary segment,Left anterior segmental bronchus,0.9706159077779384,14,7
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Right anterior bronchopulmonary segment,0.9699890441442948,13,18
UBERON:0001004,respiratory system,Right anterior bronchopulmonary segment,Right anterior segmental bronchus,0.9698146495510382,18,2
UBERON:0001004,respiratory system,Superior lingular bronchopulmonary segment,Left posterior bronchopulmonary segment,0.9696769043775935,9,8
UBERON:0001004,respiratory system,Right posterior bronchopulmonary segment,Inferior lingular bronchopulmonary segment,0.9675735381413667,13,5
UBERON:0001004,respiratory system,Right superior bronchopulmonary segment,Superior lingular bronchopulmonary segment,0.9674021696757297,4,9
UBERON:0001004,respiratory system,Medial bronchopulmonary segment,Lateral bronchopulmonary segment,0.967363870091917,50,31
UBERON:0001004,respiratory system,Right superior bronchopulmonary segment,Left anterior bronchopulmonary segment,0.9669382589838189,4,13
UBERON:0001004,respiratory system,right lung hilus,Right superior bronchopulmonary segment,0.9662942951407624,2,4
UBERON:0001004,respiratory system,Right anterior segmental bronchus,Left anterior segmental bronchus,0.9661917661963733,2,7
