dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14930,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002115,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002194,0.83333333333333333333
http://purl.org/ccf/1.5/455397a4-3d28-4e0b-9a88-c40cd796d3ec,,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.83333333333333333333
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001052,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001153,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001156,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002097,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002115,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.org/sig/ont/fma/fma14930,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.org/sig/ont/fma/fma14966,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.org/sig/ont/fma/fma14928,0.2
http://purl.org/ccf/1.5/470a6b74-a31b-4a50-bfff-da1b475c945b,,spatial,spatial,http://purl.org/sig/ont/fma/fma14929,0.2
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002189,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001284,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.89583333333333333333
http://purl.org/ccf/1.5/47f52d3a-21fd-464c-bfe7-dce1df5662be,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002094,0.89583333333333333333
