dataset,rui_location,as_label,as_id,organId,organ_label,refOrgan,refOrganAs
https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/aa93e53df10842c13348a334c8fe423f,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002189
https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal column,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0001284
https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/ac1d4544ab4886b851f74b2c21952378,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,outer cortex of kidney,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0002189
https://entity.api.hubmapconsortium.org/entities/b0f51c557f05bcff69c9eed090c93b79,http://purl.org/ccf/1.5/d51b9d67-837f-4451-a6c6-0b63c7879736,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/b2ab05f290c0740c3198f020cd70e78d,http://purl.org/ccf/1.5/61d9f366-c050-4c28-995f-32ab920a7ca8,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/b2ab05f290c0740c3198f020cd70e78d,http://purl.org/ccf/1.5/61d9f366-c050-4c28-995f-32ab920a7ca8,renal papilla,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/UBERON_0004538,left kidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.obolibrary.org/obo/UBERON_0001228
https://entity.api.hubmapconsortium.org/entities/b340bb5715f967aa74d1b8eaeec0d475,http://purl.org/ccf/1.5/d662fd53-e925-4921-8d8b-bc91eed1519b,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/be9a0e3119ea00dc156eff7ca346f46e,http://purl.org/ccf/1.5/8b652088-8c73-466d-b59c-3fbb8c01e399,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/UBERON_0000059,large intestine,http://purl.org/ccf/latest/ccf.owl#VHFColon,http://purl.obolibrary.org/obo/UBERON_0001159
https://entity.api.hubmapconsortium.org/entities/c14b104f9e44511ddf82697bce0d1901,http://purl.org/ccf/1.5/f66f91f9-c6c5-414d-b784-2faec33e0505,renal pyramid,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/UBERON_0004539,right kidney,http://purl.org/ccf/latest/ccf.owl#VHFRightKidney,http://purl.obolibrary.org/obo/UBERON_0004200
https://entity.api.hubmapconsortium.org/entities/ca35382d67c90d4d9bca1ee16526b1d3,http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/ce30489adeb0c18b028055b8b60707ca,http://purl.org/ccf/1.5/9e77a7b5-e7e8-48e1-a30e-01eeaa300ed8,skin,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,http://purl.org/ccf/latest/ccf.owl#VHFSkin,http://purl.obolibrary.org/obo/UBERON_0002097
https://entity.api.hubmapconsortium.org/entities/d0c1bd09443c301413f44f7108d20e08,http://purl.org/ccf/1.5/f15f5400-2ef9-45fc-bf0f-72f14d6f8f9e,Right Medial Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7360,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7360
https://entity.api.hubmapconsortium.org/entities/d171ff8d83f707ecca64ff159c7160a7,http://purl.org/ccf/1.5/594902fb-c4c1-47c3-b98e-3101b93a73e4,Right Lateral Bronchopulmonary Segment,http://purl.org/sig/ont/fma/fma7361,http://purl.obolibrary.org/obo/UBERON_0001004,respiratory system,http://purl.org/ccf/latest/ccf.owl#VHMLung,http://purl.org/sig/ont/fma/fma7361
