sex,donor,consortium_name
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2085,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2090,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2093,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2096,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2097,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2103,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2107,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2109,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2110,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2111,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2112,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4429f25e-5c91-4981-9cf2-6a1044c36732#2116,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294#C41,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294#C70,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/44531dd9-1388-4416-a117-af0a99de2294#C72,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_1,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_10,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_11,CxG
