tool,cell_id,cell_label,cell_count,gene_id,gene_label,gene_expr,dataset
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,736,HGNC:534,ANXA10,9.331521739130434,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat22$pyloric%20antrum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,630,HGNC:534,ANXA10,13.0015873015873,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#He_Cell_2022_TFAP2A_overexpression$lung
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,125,HGNC:534,ANXA10,2.144,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat01$body%20of%20stomach
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000540,CXCL14 inhibitory neuron,2,HGNC:534,ANXA10,1,https://api.cellxgene.cziscience.com/dp/v1/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb#H3$apex%20of%20heart
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,11,HGNC:534,ANXA10,0.09090909090909091,https://api.cellxgene.cziscience.com/dp/v1/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585#C160$colorectum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,1411,HGNC:534,ANXA10,0.7930545712260808,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Sarvestani_NatCommun_2021_NL34_iHNO$colon
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,550,HGNC:534,ANXA10,4.205454545454545,https://api.cellxgene.cziscience.com/dp/v1/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5#Pat12$body%20of%20stomach
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,33,HGNC:534,ANXA10,6.363636363636363,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Holloway_CellStemCell_2021_hITD_EGF_day132_S88$duodenum
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,167,HGNC:534,ANXA10,4.982035928143713,https://api.cellxgene.cziscience.com/dp/v1/collections/6282a908-f162-44a2-99a3-8a942e4271b2#Kilik_BioRxiv_2021_UK_HIO_EGF$intestine
pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002179,Surface mucous cell,1142,HGNC:534,ANXA10,1.802977232924694,https://api.cellxgene.cziscience.com/dp/v1/collections/38833785-fac5-48fd-944a-0f62a4c23ed1#Donor51$stomach
