sex,dataset,technology,description,annotation_method,unique_cell_type_count
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,16
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,10x,"Data/Assay Types: 10x, ",celltypist,26
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,31
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",celltypist,17
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20right%20ventricle,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,24
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$interventricular%20septum,10x,"Data/Assay Types: 10x, ",azimuth,18
Female,https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97,RNAseq,Dataset Type: RNAseq [Salmon],popv,15
Female,https://entity.api.hubmapconsortium.org/entities/ec9405ca3fa9c22273927f0d57c8cc97,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,28
Male,https://entity.api.hubmapconsortium.org/entities/fd57a928d9f3cee7e95d284f1d5b9935,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,21
Male,https://entity.api.hubmapconsortium.org/entities/fd57a928d9f3cee7e95d284f1d5b9935,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,31
Male,https://entity.api.hubmapconsortium.org/entities/fd57a928d9f3cee7e95d284f1d5b9935,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,31
Male,https://entity.api.hubmapconsortium.org/entities/e488c9a612abf6fedef3cea5e7bb6141,RNAseq,Dataset Type: RNAseq [Salmon],popv,32
Male,https://entity.api.hubmapconsortium.org/entities/8df15cb20f5e127d102a73d0ec5682a0,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,53
