dataset,Organ_Label,Organ_ID,Annotation_Label,Annotation_Label_ID,CL_Label,CL_ID,cell_count
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20left%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,28
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$heart%20right%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,55
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,30
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$left%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,95
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$right%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,146
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$apex%20of%20heart,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,60
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20left%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,35
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$heart%20right%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,17
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$interventricular%20septum,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,53
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$left%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,102
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D5$right%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,313
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$apex%20of%20heart,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,645
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20left%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,127
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$heart%20right%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,144
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$interventricular%20septum,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,485
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$left%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,354
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D6$right%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,71
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$apex%20of%20heart,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,67
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$heart%20left%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,52
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$heart%20right%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,72
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$interventricular%20septum,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,50
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$left%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,58
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$right%20cardiac%20atrium,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,140
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H2$apex%20of%20heart,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,23
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H2$heart%20left%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,52
https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H2$heart%20right%20ventricle,heart,UBERON:0000948,hepatocyte,CL:0000182,hepatocyte,CL:0000182,33
