collection,dataset_count
https://api.cellxgene.cziscience.com/dp/v1/collections/ec691f5f-0aac-433c-8f78-e7f4b85a05e0,19
https://api.cellxgene.cziscience.com/dp/v1/collections/0c3f148e-02ff-4c81-8946-29beaaf5fa59,18
https://api.cellxgene.cziscience.com/dp/v1/collections/32f2fd23-ec74-486f-9544-e5b2f41725f5,18
https://api.cellxgene.cziscience.com/dp/v1/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b,18
https://api.cellxgene.cziscience.com/dp/v1/collections/a98b828a-622a-483a-80e0-15703678befd,18
https://api.cellxgene.cziscience.com/dp/v1/collections/125eef58-0f61-4963-9b08-53e851ab65fb,17
https://api.cellxgene.cziscience.com/dp/v1/collections/4f889ffc-d4bc-4748-905b-8eb9db47a2ed,17
https://api.cellxgene.cziscience.com/dp/v1/collections/74e10dc4-cbb2-4605-a189-8a1cd8e44d8c,17
https://api.cellxgene.cziscience.com/dp/v1/collections/793fdaec-5067-428a-a9db-ecefe135c945,17
https://api.cellxgene.cziscience.com/dp/v1/collections/2d40e6a7-f2fd-49ba-9db9-6b97e4c6dad5,17
https://api.cellxgene.cziscience.com/dp/v1/collections/34f12de7-c5e5-4813-a136-832677f98ac8,16
https://api.cellxgene.cziscience.com/dp/v1/collections/6ff3401b-d72c-4940-a00c-3f0792397082,16
https://api.cellxgene.cziscience.com/dp/v1/collections/77446b76-1c2d-4a71-8e59-0efd4374d98e,16
https://api.cellxgene.cziscience.com/dp/v1/collections/99f1515b-46a2-4bc4-94c3-f62659dc1eb4,16
https://api.cellxgene.cziscience.com/dp/v1/collections/b953c942-f5d8-434f-9da7-e726ba7c1481,16
https://api.cellxgene.cziscience.com/dp/v1/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,16
https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa,15
https://api.cellxgene.cziscience.com/dp/v1/collections/9f29fcd0-7075-4420-bd61-e2ec1aebad89,15
https://api.cellxgene.cziscience.com/dp/v1/collections/e77163ca-8214-4e86-8b37-4f65a2ddae13,15
https://api.cellxgene.cziscience.com/dp/v1/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,14
https://api.cellxgene.cziscience.com/dp/v1/collections/a72afd53-ab92-4511-88da-252fb0e26b9a,13
https://api.cellxgene.cziscience.com/dp/v1/collections/1b014f39-f202-45ae-bb7d-9286bddd8d8b,13
https://api.cellxgene.cziscience.com/dp/v1/collections/cae8bad0-39e9-4771-85a7-822b0e06de9f,13
https://api.cellxgene.cziscience.com/dp/v1/collections/20eea6c8-9d64-42c9-9b6f-c11b5249e0e9,12
https://api.cellxgene.cziscience.com/dp/v1/collections/33d19f34-87f5-455b-8ca5-9023a2e5453d,12
https://api.cellxgene.cziscience.com/dp/v1/collections/4b54248f-2165-477c-a027-dd55082e8818,12
https://api.cellxgene.cziscience.com/dp/v1/collections/af893e86-8e9f-41f1-a474-ef05359b1fb7,12
https://api.cellxgene.cziscience.com/dp/v1/collections/ceb895f4-ff9f-403a-b7c3-187a9657ac2c,12
https://api.cellxgene.cziscience.com/dp/v1/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc,11
https://api.cellxgene.cziscience.com/dp/v1/collections/e02201d7-f49f-401f-baf0-1eb1406546c0,11
https://api.cellxgene.cziscience.com/dp/v1/collections/91c8e321-566f-4f9d-b89e-3a164be654d5,11
https://api.cellxgene.cziscience.com/dp/v1/collections/625f6bf4-2f33-4942-962e-35243d284837,10
https://api.cellxgene.cziscience.com/dp/v1/collections/73f82ac8-15cc-4fcd-87f8-5683723fce7f,10
https://api.cellxgene.cziscience.com/dp/v1/collections/fc77d2ae-247d-44d7-aa24-3f4859254c2c,10
https://api.cellxgene.cziscience.com/dp/v1/collections/43d4bb39-21af-4d05-b973-4c1fed7b916c,9
https://api.cellxgene.cziscience.com/dp/v1/collections/68e7e5b7-4dc9-4609-832e-7656aa6182ba,9
https://api.cellxgene.cziscience.com/dp/v1/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,9
https://api.cellxgene.cziscience.com/dp/v1/collections/16c1e722-96ae-4bf6-b408-cd7f8918484f,9
https://api.cellxgene.cziscience.com/dp/v1/collections/b7ec6c2d-32e2-48b0-8335-a827aba01caa,9
