modality,tool,cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,popv,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_proteomics,vccf,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,celltypist,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,deepcelltypes-hubmap,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,deepcelltypes,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,frmatch,T cell,http://purl.obolibrary.org/obo/CL_0000084,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000084,T cell
sc_transcriptomics,pan-human-azimuth,osteoclast,http://purl.obolibrary.org/obo/CL_0000092,true,http://purl.obolibrary.org/obo/CL_0001035,bone cell,,
sc_transcriptomics,azimuth,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,deepcelltypes-hubmap,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,pan-human-azimuth,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,ribca,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,popv,granulocyte,http://purl.obolibrary.org/obo/CL_0000094,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000081,blood cell
sc_transcriptomics,azimuth,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,popv,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,celltypist,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,deepcelltypes-hubmap,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_proteomics,vccf,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,deepcelltypes,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,frmatch,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,pan-human-azimuth,mast cell,http://purl.obolibrary.org/obo/CL_0000097,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
sc_transcriptomics,popv,sensory neuron,http://purl.obolibrary.org/obo/CL_0000101,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,popv,bipolar neuron,http://purl.obolibrary.org/obo/CL_0000103,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
sc_transcriptomics,azimuth,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,popv,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,celltypist,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,pan-human-azimuth,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,ribca,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,stellar,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_proteomics,vccf,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,deepcelltypes,endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,celltypist,glial cell,http://purl.obolibrary.org/obo/CL_0000125,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_proteomics,vccf,glial cell,http://purl.obolibrary.org/obo/CL_0000125,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,pan-human-azimuth,glial cell,http://purl.obolibrary.org/obo/CL_0000125,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,deepcelltypes,glial cell,http://purl.obolibrary.org/obo/CL_0000125,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,deepcelltypes-hubmap,astrocyte,http://purl.obolibrary.org/obo/CL_0000127,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,pan-human-azimuth,astrocyte,http://purl.obolibrary.org/obo/CL_0000127,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,azimuth,astrocyte,http://purl.obolibrary.org/obo/CL_0000127,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,celltypist,oligodendrocyte,http://purl.obolibrary.org/obo/CL_0000128,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,pan-human-azimuth,oligodendrocyte,http://purl.obolibrary.org/obo/CL_0000128,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,azimuth,oligodendrocyte,http://purl.obolibrary.org/obo/CL_0000128,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,pan-human-azimuth,microglial cell,http://purl.obolibrary.org/obo/CL_0000129,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,popv,microglial cell,http://purl.obolibrary.org/obo/CL_0000129,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,celltypist,microglial cell,http://purl.obolibrary.org/obo/CL_0000129,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_transcriptomics,popv,gut endothelial cell,http://purl.obolibrary.org/obo/CL_0000131,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,popv,mesenchymal stem cell,http://purl.obolibrary.org/obo/CL_0000134,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,celltypist,mesenchymal stem cell,http://purl.obolibrary.org/obo/CL_0000134,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_proteomics,vccf,mesenchymal stem cell,http://purl.obolibrary.org/obo/CL_0000134,true,http://purl.obolibrary.org/obo/CL_0000034,stem cell,,
sc_transcriptomics,azimuth,adipocyte,http://purl.obolibrary.org/obo/CL_0000136,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000136,adipocyte
