cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
pseudounipolar neuron,http://purl.obolibrary.org/obo/CL_0000105,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
unipolar neuron,http://purl.obolibrary.org/obo/CL_0000106,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
autonomic neuron,http://purl.obolibrary.org/obo/CL_0000107,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
cholinergic neuron,http://purl.obolibrary.org/obo/CL_0000108,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
adrenergic neuron,http://purl.obolibrary.org/obo/CL_0000109,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
peptidergic neuron,http://purl.obolibrary.org/obo/CL_0000110,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
columnar neuron,http://purl.obolibrary.org/obo/CL_0000112,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
mononuclear phagocyte,http://purl.obolibrary.org/obo/CL_0000113,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,,
endothelial cell,http://purl.obolibrary.org/obo/CL_0000115,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
pioneer neuron,http://purl.obolibrary.org/obo/CL_0000116,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
CNS neuron (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000117,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
basket cell,http://purl.obolibrary.org/obo/CL_0000118,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
cerebellar Golgi cell,http://purl.obolibrary.org/obo/CL_0000119,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
granule cell,http://purl.obolibrary.org/obo/CL_0000120,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
Purkinje cell,http://purl.obolibrary.org/obo/CL_0000121,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
stellate neuron,http://purl.obolibrary.org/obo/CL_0000122,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
neuron associated cell (sensu Vertebrata),http://purl.obolibrary.org/obo/CL_0000123,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
glial cell,http://purl.obolibrary.org/obo/CL_0000125,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
macroglial cell,http://purl.obolibrary.org/obo/CL_0000126,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
astrocyte,http://purl.obolibrary.org/obo/CL_0000127,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
oligodendrocyte,http://purl.obolibrary.org/obo/CL_0000128,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
microglial cell,http://purl.obolibrary.org/obo/CL_0000129,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
neuron associated cell (sensu Nematoda and Protostomia),http://purl.obolibrary.org/obo/CL_0000130,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,,
gut endothelial cell,http://purl.obolibrary.org/obo/CL_0000131,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
corneal endothelial cell,http://purl.obolibrary.org/obo/CL_0000132,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
