dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002097,0.00825990694049057
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001157,0.0001865902312035922
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010748,0.024251195649789302
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0006082,0.041029284319918785
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010397,0.02994710001098716
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004887,0.9116657720141161
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001159,0.00019604732786623983
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002007,0.025379923046530188
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_8410027,0.05618784047622005
http://purl.org/ccf/1.5/0364c64a-5b0a-493f-a5ee-3adfc837211c,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002079,0.040950763670012
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7398,0.007474220455855797
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7338,0.011268320137441773
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7360,0.017459622944984016
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma15729,0.024103032293426526
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7366,0.012135419036447638
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7361,0.01960453065598498
