dataset,reported_organ,tool,modality,corridor,similarity
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/5c7d77e3-e7e4-4f6c-bf86-01e78c3de7ad,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/87be07c9-cf37-4001-a589-e2c048b5d3f3,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/c11ab720-9dc0-4948-8077-3add6ba2492e,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/e88dfa31-cb6b-4eaa-b16c-e5c97de2701e,0.9999884709560732
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/bd004aeb-6e60-4d5b-8d40-cfdd55b8b6fe,0.9963368918175686
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/c07ec91d-9dbe-4132-a93c-b960895b009d,0.9856148769223172
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/9b2bcd9c-b142-45d3-bf38-f4a24afdb73a,0.9749813658151544
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/fd380a0c-2915-4d73-b3f4-d161badbaccb,0.9731933535648428
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/cf4ba102-edf7-4fe4-bb1d-860cdf57609d,0.9564252102633344
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/70f16514-e190-40b4-adf8-b937b150d733,0.9518905972161738
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/7f7fe1b0-d9f6-48c2-a304-2ea5874c7392,0.919552509621431
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/1d965182-bf13-4738-af05-72b817121959,0.9194462347625799
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/72ea5aad-4be7-4478-afc0-7736bc0d90e3,0.9110804559941449
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/57bab703-98bd-4106-9160-af951a74e4df,0.9105089032032986
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/29e439fb-cfec-4c2d-a14e-3bc60eb8e255,0.9103336064989267
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/52c4948d-bdc2-4201-a991-61a2c0a565c0,0.9100920928589206
http://purl.org/ccf/1.5/007eb4d9-1694-4380-99e1-4aba832d9227,,azimuth,sc_bulk,http://purl.org/ccf/1.5/37283102-d963-4639-8834-4813fbb3c247,0.9100920928589205
