#####Coverage percentage#####
87.56%
#####Number of terms covered by each term in the slim#####
melanocyte,14
http://purl.obolibrary.org/obo/CL_0000600,heterokaryon
http://purl.obolibrary.org/obo/CL_0000335,mesenchyme condensation cell
http://purl.obolibrary.org/obo/CL_0000407,scolopidial ligament cell
http://purl.obolibrary.org/obo/CL_0000457,biogenic amine secreting cell
http://purl.obolibrary.org/obo/CL_0011026,progenitor cell
http://purl.obolibrary.org/obo/CL_0002175,primary follicular cell of ovary
http://purl.obolibrary.org/obo/CL_0000348,choroidal cell of the eye
http://purl.obolibrary.org/obo/CL_0000342,pigment cell (sensu Vertebrata)
http://purl.obolibrary.org/obo/CL_0000170,glucagon secreting cell
http://purl.obolibrary.org/obo/CL_0000365,animal zygote
http://purl.obolibrary.org/obo/CL_0008012,quiescent skeletal muscle satellite cell
http://purl.obolibrary.org/obo/CL_0002681,kidney cortical cell
http://purl.obolibrary.org/obo/CL_1000600,lower urinary tract cell
http://purl.obolibrary.org/obo/CL_0000474,pericardial nephrocyte
http://purl.obolibrary.org/obo/CL_0002388,multinucleate arthroconidium
http://purl.obolibrary.org/obo/CL_0000384,ligament cell
http://purl.obolibrary.org/obo/CL_0000404,electrically signaling cell
http://purl.obolibrary.org/obo/CL_2000038,posterior lateral line neuromast mantle cell
http://purl.obolibrary.org/obo/CL_1001142,arcuate vein cell
http://purl.obolibrary.org/obo/CL_0002272,motilin secreting cell
http://purl.obolibrary.org/obo/CL_1000596,inner renal cortex cell
http://purl.obolibrary.org/obo/CL_0000206,chemoreceptor cell
http://purl.obolibrary.org/obo/CL_0000513,cardiac muscle myoblast
http://purl.obolibrary.org/obo/CL_0000439,prolactin secreting cell
http://purl.obolibrary.org/obo/CL_1000504,kidney medulla cell
http://purl.obolibrary.org/obo/CL_0000295,somatotropin secreting cell
http://purl.obolibrary.org/obo/CL_0002389,uninucleate arthroconidium
http://purl.obolibrary.org/obo/CL_0000149,visual pigment cell
http://purl.obolibrary.org/obo/CL_0002386,multinucleate macroconidium
