dataset,reported_organ,modality,as,similarity
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7385,0.00449520391608656
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7428,0.007883875617784563
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7364,0.007148332606230046
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7430,0.006716954509122869
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7416,0.013698222418887518
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma14928,1
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7426,0.009437522537241809
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7374,0.008000894971364407
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma14930,0.9857738973611527
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7360,0.004321688874271219
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma14926,0.9428161913564646
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7373,0.007261002873020578
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7400,0.002671402894616889
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma14966,0.9387703640299906
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7386,0.008140027051933474
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7361,0.0055487678106009445
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma7366,0.005833532456386316
http://purl.org/ccf/1.5/1f53fe4d-d77b-4508-ba36-22b6b3ac0e53,Unknown,spatial,http://purl.org/sig/ont/fma/fma14929,0.9872313167993615
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.9394994685178455
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001157,0.9664202770339229
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001228,0.0033783670621036037
http://purl.org/ccf/1.5/23e9d58a-c93f-414b-baf9-3692ea20fd1c,Unknown,spatial,http://purl.obolibrary.org/obo/UBERON_0001158,1.0000000000000002
