cell_label,cell_id,level,level_cell_id,level_cell_label
regulatory T cell,http://purl.obolibrary.org/obo/CL_0000815,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
renal beta-intercalated cell,http://purl.obolibrary.org/obo/CL_0002201,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
renal interstitial pericyte,http://purl.obolibrary.org/obo/CL_1001318,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
renal medullary fibroblast,http://purl.obolibrary.org/obo/CL_4030022,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
renal medullary fibroblast,http://purl.obolibrary.org/obo/CL_4030022,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
respiratory basal cell,http://purl.obolibrary.org/obo/CL_0002633,L1,http://purl.obolibrary.org/obo/CL_0000034,stem cell
respiratory tract goblet cell,http://purl.obolibrary.org/obo/CL_0002370,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
respiratory tract suprabasal cell,http://purl.obolibrary.org/obo/CL_4033048,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
serous secreting cell of bronchus submucosal gland,http://purl.obolibrary.org/obo/CL_4033005,L2,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
small intestine goblet cell,http://purl.obolibrary.org/obo/CL_1000495,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000192,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
splenic endothelial cell,http://purl.obolibrary.org/obo/CL_2000053,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
stromal cell,http://purl.obolibrary.org/obo/CL_0000499,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
stromal cell,http://purl.obolibrary.org/obo/CL_0000499,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
transit amplifying cell of colon,http://purl.obolibrary.org/obo/CL_0009011,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
tuft cell of small intestine,http://purl.obolibrary.org/obo/CL_0009080,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
type B pancreatic cell,http://purl.obolibrary.org/obo/CL_0000169,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
type I NK T cell,http://purl.obolibrary.org/obo/CL_0000921,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
type I NK T cell,http://purl.obolibrary.org/obo/CL_0000921,L2,http://purl.obolibrary.org/obo/CL_0000084,T cell
vasa recta ascending limb cell,http://purl.obolibrary.org/obo/CL_1001131,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
vascular associated smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359,L1,http://purl.obolibrary.org/obo/CL_0000187,muscle cell
vein endothelial cell,http://purl.obolibrary.org/obo/CL_0002543,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
vein endothelial cell of respiratory system,http://purl.obolibrary.org/obo/CL_4033008,L1,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
