cell_label,cell_id,level,level_cell_id,level_cell_label
enterocyte of epithelium of large intestine,http://purl.obolibrary.org/obo/CL_0002071,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epidermal Langerhans cell,http://purl.obolibrary.org/obo/CL_0002457,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
epidermal Langerhans cell,http://purl.obolibrary.org/obo/CL_0002457,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of early distal convoluted tubule,http://purl.obolibrary.org/obo/CL_4030016,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of large intestine,http://purl.obolibrary.org/obo/CL_0002253,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of late distal convoluted tubule,http://purl.obolibrary.org/obo/CL_4030017,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of proximal tubule segment 1,http://purl.obolibrary.org/obo/CL_4030009,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of proximal tubule segment 2,http://purl.obolibrary.org/obo/CL_4030010,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of proximal tubule segment 3,http://purl.obolibrary.org/obo/CL_4030011,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
epithelial cell of small intestine,http://purl.obolibrary.org/obo/CL_0002254,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
erythrocyte,http://purl.obolibrary.org/obo/CL_0000232,L2,http://purl.obolibrary.org/obo/CL_0000081,blood cell
fibroblast,http://purl.obolibrary.org/obo/CL_0000057,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
fibroblast,http://purl.obolibrary.org/obo/CL_0000057,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
